iter x y fval size
  293  1.000e+00  1.000e+00 7.069e-22 6.573e-07
  294  1.000e+00  1.000e+00 7.069e-22 6.573e-07
  295  1.000e+00  1.000e+00 7.069e-22 6.573e-07
  296  1.000e+00  1.000e+00 4.445e-23 6.573e-07
  297  1.000e+00  1.000e+00 4.445e-23 6.573e-07
  298  1.000e+00  1.000e+00 4.445e-23 6.573e-07
  299  1.000e+00  1.000e+00 4.445e-23 6.573e-07
  300  1.000e+00  1.000e+00 3.119e-23 6.573e-07
  301  1.000e+00  1.000e+00 2.232e-23 6.573e-07
  302  1.000e+00  1.000e+00 4.589e-24 6.573e-07
  303  1.000e+00  1.000e+00 4.253e-24 6.573e-07
  304  1.000e+00  1.000e+00 2.246e-24 6.573e-07
  305  1.000e+00  1.000e+00 7.835e-26 6.573e-07
  306  1.000e+00  1.000e+00 7.835e-26 6.573e-07
  307  1.000e+00  1.000e+00 7.835e-26 6.573e-07
  308  1.000e+00  1.000e+00 7.835e-26 6.573e-07
  309  1.000e+00  1.000e+00 4.000e-26 6.573e-07
  310  1.000e+00  1.000e+00 4.771e-27 6.573e-07
  311  1.000e+00  1.000e+00 4.771e-27 6.573e-07
  312  1.000e+00  1.000e+00 4.771e-27 1.029e-13
